,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table,Lvl,Table
Fishing,,Shore,,Ocean,,Lake,,Pond,,Dratini,,Qwilfish_Swarm,,Remoraid_Swarm,,Gyarados,,Dratini_2,,WhirlIslands,,Qwilfish,,Remoraid,,Qwilfish_NoSwarm
Day,,,,,,,,,,,,,,,,,,,,,,,,,,
Old,,,,,,,,,,,,,,,,,,,,,,,,,,
70%,14,Krabby,14,Tentacool,14,Kabuto,14,Remoraid,5,Dratini,5,Magikarp,10,Magikarp,5,Gyarados,60,Poliwhirl,50,Dewgong,14,Tentacool,14,Magikarp,14,Tentacool
15%,14,Corsola,14,Chinchou,14,Omanyte,14,Remoraid,5,Seadra,5,Magikarp,10,Magikarp,15,Gyarados,60,Politoed,50,Seadra,14,Chinchou,14,Magikarp,14,Chinchou
15%,14,Goldeen,14,Staryu,14,Slowpoke,14,Seel,5,Dragonair,5,Qwilfish,10,Remoraid,25,Magikarp,60,Dewgong,50,Seadra,14,Staryu,14,Poliwag,14,Staryu
Good,,,,,,,,,,,,,,,,,,,,,,,,,,
35%,38,Kingler,38,Corsola,38,Kabutops,38,Poliwhirl,63,Dragonair,20,Magikarp,20,Magikarp,38,Gyarados,62,Omastar,50,Seadra,38,Poliwhirl,38,Magikarp,38,Poliwhirl
35%,38,Seaking,38,Chinchou,38,Slowbro,38,Slowpoke,63,Dragonair,20,Qwilfish,20,Remoraid,38,Gyarados,62,Lanturn,50,Dewgong,38,Slowpoke,38,Poliwag,38,Slowpoke
20%,38,Mantine,38,Tentacool,38,Omastar,38,Poliwhirl,63,Seadra,20,Qwilfish,20,Remoraid,38,Magikarp,62,Quagsire,50,Seadra,38,Tentacool,38,Poliwag,38,Tentacool
10%,38,Corsola,38,Corsola,38,Omastar,38,Wooper,63,Dragonair,20,Qwilfish,20,Remoraid,38,Gyarados,62,Quagsire,50,Horsea,38,Chinchou,38,Poliwag,38,Chinchou
Super,,,,,,,,,,,,,,,,,,,,,,,,,,
